Nr;Gebiet;gehört zu;Wahlberechtigte;;Wählende;;Ungültige Stimmen;;Gültige Stimmen;;SPD;;CDU;;Gruene;;FDP;;AfD;;CSU;;Linke;;FREIE WÄHLER;;PARTEI MENSCH UMWELT TIERSCHUTZ;;Basisdemokratische Partei Deutschland;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;Die Gerechtigkeitspartei – Team Todenhöfer;;Piratenpartei Deutschland;;Volt Deutschland;;Ökologisch-Demokratische Partei - Die Naturschutzpartei;;Südschleswigscher Wählerverband;;Partei für Verjüngungsforschung;;Partei der Humanisten - Fakten, Freiheit, Fortschritt;;Bündnis C - Christen für Deutschland;;Bayernpartei;;Marxistisch-Leninistische Partei Deutschlands;;Menschliche Welt - für das Wohl und Glücklichsein aller;;Partei des Fortschritts;;Sozialistische Gleichheitspartei, Vierte Internationale;;Bürgerrechtsbewegung Solidarität;;BÜNDNIS DEUTSCHLAND;;BSW;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;WerteUnion;;Übrige;
;;;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen
233;Schwandorf;09;220942;220942;185064;185064;915;557;184149;184507;25536;17112;;;7512;9172;3426;4927;49700;51974;77716;72443;4913;6052;13593;14477;;1061;;509;;423;;;;;;483;1233;681;;;;;;79;;;;336;;29;;;;;;;;;520;206;;4543;;;;;;
234;Weiden;09;162689;162689;136797;136797;653;435;136144;136362;16294;15931;;;6624;7926;4126;4169;31351;33124;59268;55094;5590;5367;9673;8215;;896;;449;;347;;;;;;417;787;418;;;;;;61;;;;306;;21;;;;;;;;;;107;;3514;;;;;2431;
235;Bamberg;09;179277;179277;155528;155528;671;474;154857;155054;22569;17554;;;20762;19474;4709;6095;28887;29977;61044;57363;7914;10111;6174;5462;;1166;;500;;560;;;;;1789;1307;1009;459;;;;;;121;;;;173;;49;;;;;;;;;;117;;4566;;;;;;
236;Bayreuth;09;158660;158660;134080;134080;614;399;133466;133681;19068;16404;;;11000;13155;3728;4987;25068;26682;59366;51467;6113;7605;6741;5969;;1043;984;473;;441;;;;;1398;845;;314;;;;;;95;;;;112;;22;;;;;;;;;;94;;3973;;;;;;
237;Coburg;09;153392;153392;128802;128802;627;495;128175;128307;18425;18401;;;10942;9603;2489;4135;26821;28512;53726;47709;5018;6965;6943;5071;;1181;;387;;496;;;;;;705;973;450;;;;;;103;;;;120;;33;;;;;;;;;;122;2838;4314;;;;;;
238;Hof;09;157915;157915;129452;129452;790;452;128662;129000;22966;17420;;;6392;7802;3165;4031;30614;31308;51926;48966;5790;6848;6174;4773;;1173;;382;;439;;;;;997;547;;236;;;;;;81;;;;130;;23;;;;;;;;;638;219;;4622;;;;;;
239;Kulmbach;09;165446;165446;141537;141537;771;462;140766;141075;13210;15327;;;9232;10176;2838;4550;30698;32988;69446;56803;5361;6210;8744;7184;;1133;;439;;538;;;;;1237;719;;424;;;;;;75;;;;172;;25;;;;;;;;;;129;;4183;;;;;;
240;Ansbach;09;240854;240854;203889;203889;1082;707;202807;203182;26716;24614;;;18247;19216;5372;6859;43010;43681;84718;75746;9432;10146;10958;9498;;1676;;806;;713;;;;;2098;1162;2256;1089;;;;;;152;;;;257;;34;;;;;;;;;;188;;7345;;;;;;
241;Erlangen;09;186493;186493;162266;162266;847;467;161419;161799;28003;22444;;;29337;29142;4761;6888;22637;23505;57972;54595;9115;11552;7023;4129;;1170;;496;;703;;;;;2571;1375;;557;;;;;;170;;;;137;;50;;;;;;;;;;129;;4757;;;;;;
242;Fürth;09;248261;248261;208331;208331;1181;822;207150;207509;36976;29393;;;22507;25808;6095;8087;38338;39098;77540;71334;12636;14099;8042;5950;;1996;;724;;831;;;;;2279;1419;2737;793;;;;;;161;;;;186;;61;;;;;;;;;;201;;7368;;;;;;
