Nr;Gebiet;gehört zu;Wahlberechtigte;;Wählende;;Ungültige Stimmen;;Gültige Stimmen;;SPD;;CDU;;Gruene;;FDP;;AfD;;CSU;;Linke;;FREIE WÄHLER;;PARTEI MENSCH UMWELT TIERSCHUTZ;;Basisdemokratische Partei Deutschland;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;Die Gerechtigkeitspartei – Team Todenhöfer;;Piratenpartei Deutschland;;Volt Deutschland;;Ökologisch-Demokratische Partei - Die Naturschutzpartei;;Südschleswigscher Wählerverband;;Partei für Verjüngungsforschung;;Partei der Humanisten - Fakten, Freiheit, Fortschritt;;Bündnis C - Christen für Deutschland;;Bayernpartei;;Marxistisch-Leninistische Partei Deutschlands;;Menschliche Welt - für das Wohl und Glücklichsein aller;;Partei des Fortschritts;;Sozialistische Gleichheitspartei, Vierte Internationale;;Bürgerrechtsbewegung Solidarität;;BÜNDNIS DEUTSCHLAND;;BSW;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;WerteUnion;;Übrige;
;;;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen
080;Berlin-Tempelhof-Schöneberg;11;229228;229228;186814;186814;1795;1136;185019;185678;37948;32866;45571;38863;45632;36894;5025;7181;20623;20985;;;22362;32091;;458;4466;2612;;;;1010;1809;607;;;;1613;;;;;;;;;;;;;;61;;;;289;;42;236;94;529;248;;9519;;245;;;818;
081;Berlin-Neukölln;11;192506;192506;146235;146235;1396;1063;144839;145172;27265;22853;28488;26185;16137;22260;2792;4033;18893;18874;;;43412;36687;832;426;2654;2207;;;1335;861;2135;704;;;;975;;;;;;;;;;;;;262;110;;;;177;;32;;36;506;317;;8110;;325;;;128;
082;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;11;218729;218729;180876;180876;1836;736;179040;180140;23516;24137;17940;16721;54769;46622;4272;5010;13846;12996;;;62050;57056;;286;;1772;;;;1489;;325;;;;2050;;;;;;;;;;;;;;98;;;;241;;26;;33;934;245;;10643;;390;;;1713;
083;Berlin-Treptow-Köpenick;11;206841;206841;169813;169813;1133;1030;168680;168783;14472;21403;23747;25858;8081;20226;2961;4949;34646;36410;;;70572;36609;892;761;3235;3017;;;;1294;;260;;;;1546;;;;;;;;;;;;;113;86;;;;367;;27;100;72;420;299;9441;15471;;128;;;;
084;Berlin-Marzahn-Hellersdorf;11;195867;195867;149485;149485;1287;1041;148198;148444;12927;16171;43262;24498;6089;8911;1869;3802;43743;46294;;;24883;24746;1835;1044;;3364;;;;1036;;196;;;;1136;;;;;;;;;;;;;326;115;;;;395;;47;;63;511;304;12753;16235;;87;;;;
085;Berlin-Lichtenberg;11;196799;196799;155424;155424;1273;1094;154151;154330;13928;18332;27185;21231;8109;16698;2231;3878;33703;34638;;;52374;36199;851;596;3579;3099;;;;1242;;221;;;;1546;;;;;;;;;;;;;;100;;;;388;;39;155;83;599;288;11437;15613;;139;;;;
11;Berlin;99;2442031;2442031;1961161;1961161;18694;11762;1942467;1949399;326627;295190;413863;356091;338209;328022;52616;74110;294530;296999;;;423489;387142;9143;6410;15742;29349;;;8387;12871;4693;4531;;;;18210;;;;;;;;;;;;;1234;925;;;;3407;73;425;1303;719;7598;3054;41643;129501;658;2443;;;2659;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
086;Aachen I;05;172442;172442;143849;143849;2902;865;140947;142984;27720;25205;45545;34180;39377;34769;5916;6870;;13891;;;13162;18398;3338;403;;970;;187;;743;;195;;;3211;1522;;;;;;;;;;;;;;36;;;;241;;;;;2678;231;;5011;;93;;39;;
087;Aachen II;05;224835;224835;182360;182360;6369;1396;175991;180964;53748;37902;70536;57089;13269;17002;8190;7599;;34578;;;13329;12303;12918;1284;;2531;;378;;882;;349;;;4001;1026;;;;;;;;;;;;;;27;;;;275;;;;;;192;;7358;;80;;109;;
088;Heinsberg;05;192359;192359;157147;157147;1588;1114;155559;156033;29810;26662;64623;54975;11799;13621;4680;6516;30788;31410;;;8958;9855;2800;1208;;2443;;449;;854;;250;;;2101;1076;;;;;;;;;;;;;;22;;;;285;;;;;;178;;6076;;48;;105;;
089;Düren;05;199302;199302;164549;164549;1449;1130;163100;163419;35854;30306;64996;54483;12153;13843;4591;7006;33137;33517;;;9105;10498;3264;1178;;2549;;395;;835;;249;;;;916;;;;;;;;;;;;;;31;;;;323;;;;;;208;;6931;;44;;107;;
090;Rhein-Erft-Kreis I;05;247391;247391;207174;207174;1832;1209;205342;205965;53609;40600;71773;65147;20959;23825;7549;10293;34346;34400;;;13221;14819;2567;1089;;2798;;443;;930;;460;;;;1391;;;;;;;;;;;;;;30;;;;371;;;;;1318;425;;8732;;82;;130;;
091;Euskirchen – Rhein-Erft-Kreis II;05;248663;248663;207633;207633;2114;1265;205519;206368;42467;36497;78883;69739;19549;22512;8498;9905;37837;37881;;;11457;12960;2886;1437;;2814;;595;;1028;;334;;;2858;1416;;;;;;;;;;;;;;34;;;;373;;;;;1084;476;;8171;;61;;135;;
092;Köln I;05;190951;190951;153110;153110;1515;877;151595;152233;37717;29775;37261;33934;30496;27273;4672;6409;20022;18853;;;16894;22716;1488;580;;1598;;297;;851;;344;;;2698;1671;;;;;;;;;;;;;347;96;;;;310;;;;;;181;;7170;;125;;50;;
093;Köln II;05;243912;243912;214600;214600;1213;679;213387;213921;35124;37916;59925;53426;72858;55085;8061;12933;12775;13444;;;18454;28762;881;432;;1448;;237;;986;;215;;;4534;2330;;;;;;;;;;;;;;31;;;;334;;;;;567;181;;6017;;90;;54;208;
094;Köln III;05;206670;206670;169135;169135;1314;782;167821;168353;43307;33496;32638;32522;43697;36769;4773;5715;19459;18860;;;18806;27502;1322;503;;1745;;311;;958;;415;;;3074;1632;;;;;;;;;;;;;;62;;;745;335;;;;;;153;;7190;;137;;48;;
095;Bonn;05;228611;228611;193693;193693;1651;980;192042;192713;41567;34068;63973;50413;46819;44136;4737;9995;15681;17186;;;14776;23994;934;419;;1252;;338;;877;;270;;;3018;2147;;;;;;;;;;;;;;59;;;537;287;;;;;;128;;6911;;141;;92;;
096;Rhein-Sieg-Kreis I;05;238117;238117;199363;199363;1772;1089;197591;198274;44274;35512;70350;63340;22218;24764;8438;9897;34562;34457;;;11330;13448;3318;1251;;2598;;510;;1089;;347;;;3101;1712;;;;;;;;;;;;;;43;;;;367;;;;;;270;;8457;;66;;146;;
097;Rhein-Sieg-Kreis II;05;214269;214269;183170;183170;1436;891;181734;182279;32287;30333;79638;63717;23157;26800;5879;10261;25830;26034;;;9770;11888;2139;898;;1853;;436;;821;;269;;;3034;1650;;;;;;;;;;;;;;24;;;;278;;;;;;205;;6637;;46;;129;;
098;Oberbergischer Kreis;05;204344;204344;169836;169836;1577;1229;168259;168607;34869;29969;62101;53401;14812;16032;5476;7771;36265;35721;;;10064;10598;2914;1189;;2369;;589;;1010;;253;;;1758;1032;;;;;;;;;;;;;;46;;;;340;;;;;;302;;7737;;68;;180;;
099;Rheinisch-Bergischer Kreis;05;214554;214554;184451;184451;1295;1001;183156;183450;34423;33924;77303;61967;25245;27582;9053;10199;22757;24340;;;9308;11972;1692;1002;;2152;;424;;859;;226;;;2531;1680;;;;;;;;;;;;;;74;;;;303;;;;;844;323;;6243;;66;;114;;
100;Leverkusen – Köln IV;05;206279;206279;165364;165364;1593;1030;163771;164334;53574;34871;41855;40450;18081;23355;5102;6418;25439;25392;;;14848;19137;1984;695;;2106;;364;;1100;;409;;;2558;1475;;;;;;;;;;;;;330;117;;;;287;;;;;;169;;7786;;100;;103;;
101;Wuppertal I;05;196546;196546;152965;152965;1527;1004;151438;151961;50775;30725;36823;35769;13019;19111;4561;6282;27691;27221;;;13824;18583;1800;672;;1925;;354;;890;;326;;;1902;1171;;;;;;;;;;;;;;93;;;;259;;;;;;149;;8242;;98;;91;1043;
102;Solingen – Remscheid – Wuppertal II;05;216618;216618;173656;173656;1511;1091;172145;172565;47237;34679;55860;49129;14997;19322;5555;8171;31911;31539;;;12886;14540;;669;;2327;;404;;1138;;418;;;2646;1325;;;;;;;;;;;;;429;109;;;;305;;;;;;258;;8072;;81;;79;624;
103;Mettmann I;05;200861;200861;167725;167725;1481;996;166244;166729;37459;31486;60821;53525;20715;21296;7480;9418;26198;25930;;;10712;11506;;680;;2253;;338;;825;;340;;;2859;1399;;;;;;;;;;;;;;37;;;;350;;;;;;203;;6968;;57;;118;;
104;Mettmann II;05;156872;156872;129858;129858;1231;761;128627;129097;32170;25094;46153;41355;14237;14517;5007;6816;22096;21731;;;8542;9158;;500;;1767;;225;;728;;241;;;;837;;;;;;;;;;;;;422;76;;;;250;;;;;;129;;5538;;55;;80;;
105;Düsseldorf I;05;224440;224440;187087;187087;1412;764;185675;186323;39355;32067;67117;56471;32269;34049;9883;14550;18226;18535;;;13318;17731;1026;475;;1562;;270;;815;;275;;;3353;1843;;;;;;;;;;;;;292;92;;;;329;;;;;836;295;;6750;;108;;106;;
106;Düsseldorf II;05;188871;188871;151917;151917;1309;778;150608;151139;34737;28534;43286;38007;27347;25780;6249;8236;19575;19608;;;14022;17790;934;480;;1669;;234;;771;;314;;;2641;1570;;;;;;;;;;;;;370;80;;;;232;;;;;729;231;;7243;;126;718;234;;
107;Neuss I;05;210819;210819;173213;173213;1653;1032;171560;172181;46410;32057;62250;56599;14559;18439;7267;9019;29039;29147;;;12035;12781;;706;;2418;;499;;919;;418;;;;1023;;;;;;;;;;;;;;50;;;;329;;;;;;176;;7389;;87;;125;;
108;Mönchengladbach;05;181209;181209;140093;140093;1647;974;138446;139119;36398;26039;50180;42525;13648;13843;4553;6325;25290;25127;;;;13206;1478;657;;2016;;313;3454;860;;228;;;2169;851;;;;;;;;;;;;;;32;;;;207;;;;;917;269;;6368;;108;359;145;;
109;Krefeld I – Neuss II;05;196586;196586;164175;164175;1494;931;162681;163244;36512;29573;61543;55632;17840;20007;8910;10106;23769;23886;;;10838;11476;3269;1033;;2103;;372;;827;;330;;;;913;;;;;;;;;;;;;;48;;;;301;;;;;;197;;6277;;66;;97;;
110;Viersen;05;223737;223737;185888;185888;1736;1166;184152;184722;38071;33644;73676;64228;19438;21085;7317;10039;29425;29312;;;11337;11875;2510;1170;;2675;;439;;1137;;287;;;2378;1147;;;;;;;;;;;;;;26;;;;349;;;;;;285;;6843;;55;;126;;
111;Kleve;05;223650;223650;182410;182410;1387;1094;181023;181316;39197;34004;74624;66213;16447;18986;6098;8100;28974;29097;;;10755;11625;2429;1338;;2422;;443;;891;;252;;;2499;1145;;;;;;;;;;;;;;32;;;;328;;;;;;247;;6060;;43;;90;;
112;Wesel I;05;204087;204087;170462;170462;1425;970;169037;169492;47432;39286;58855;53363;13787;16092;6123;7204;29375;29405;;;10274;11150;2155;935;;2533;;316;;1091;;261;;;;738;;;;;;;;;;;;;;63;;;;278;;;;;1036;388;;6263;;38;;88;;
113;Krefeld II – Wesel II;05;173314;173314;140198;140198;1267;841;138931;139357;42077;31190;44337;40218;12057;15317;4955;6702;23341;23133;;;8553;11212;1829;729;;1927;;277;;867;;259;;;1782;805;;;;;;;;;;;;;;65;;;;221;;;;;;155;;6128;;71;;81;;
114;Duisburg I;05;159961;159961;127170;127170;1297;862;125873;126308;49116;32468;27748;28994;9830;13470;3081;4228;22224;21867;;;10805;13149;1378;582;;2083;;267;;882;;455;;;1389;755;;;;;;;;;;;;;302;118;;;;260;;;;;;153;;6412;;102;;63;;
115;Duisburg II;05;152391;152391;111932;111932;1413;1093;110519;110839;36554;27970;21964;21710;7708;7478;2402;2954;29325;27232;;;10072;12257;1575;543;;1905;;199;;659;;502;;;;401;;;;;;;;;;;;;359;121;;;;166;;;;;;155;;6369;;96;;122;560;
116;Oberhausen – Wesel III;05;193877;193877;155814;155814;1508;1000;154306;154814;48435;38973;41526;38608;12639;13760;4456;5247;32461;31566;;;12057;12769;;561;;2562;;273;;1082;2091;564;;;;734;;;;;;;;;;;;;641;99;;;;304;;;;;;230;;7330;;73;;79;;
117;Mülheim – Essen I;05;177448;177448;145635;145635;1279;779;144356;144856;46990;34203;41764;40688;13280;15927;4958;6189;25140;24695;;;9854;11360;2370;730;;2090;;249;;882;;289;;;;770;;;;;;;;;;;;;;81;;;;219;;;;;;148;;6199;;57;;80;;
118;Essen II;05;152295;152295;114166;114166;1243;846;112923;113320;34227;26237;27842;25277;9316;10174;2683;3360;26058;24911;;;10655;12072;1681;529;;1871;;161;;817;;329;;;;707;;;;;;;;;;;;;461;158;;;;181;;;;;;232;;6195;;66;;43;;
119;Essen III;05;186492;186492;157665;157665;1399;672;156266;156993;38546;33184;55806;46387;24617;25317;4835;7710;18664;19130;;;11667;14178;1751;513;;1840;;218;;990;;209;;;;1287;;;;;;;;;;;;;380;105;;;;265;;;;;;125;;5416;;60;;59;;
120;Recklinghausen I;05;161611;161611;129041;129041;999;731;128042;128310;42357;29886;36873;35131;8687;12447;3278;4581;25911;25874;;;7544;9622;1096;559;;1945;;260;2074;875;;275;;;;617;;;;;;;;;;;;;222;80;;;;208;;;;;;169;;5656;;55;;70;;
121;Recklinghausen II;05;182424;182424;147467;147467;1313;885;146154;146582;42454;34276;46217;42174;10573;12831;3418;5171;30367;30725;;;8501;9722;1891;790;;2277;;261;;741;;315;;;;645;;;;;;;;;;;;;357;101;;;;244;;;;;644;286;;5870;;74;;79;1732;
122;Gelsenkirchen;05;164673;164673;122676;122676;1223;900;121453;121776;38118;29342;28051;27665;7379;7944;4038;3682;31302;30032;;;10246;11485;1720;626;;2359;;191;;685;;442;;;;444;;;;;;;;;;;;;599;239;;;;167;;;;;;142;;6174;;100;;57;;
123;Steinfurt I – Borken I;05;201685;201685;168635;168635;1067;886;167568;167749;38036;31173;70063;65098;15800;17571;5775;7070;25233;24879;;;10028;10636;2633;1122;;1809;;324;;836;;206;;;;949;;;;;;;;;;;;;;26;;;;326;;;;;;167;;5420;;74;;63;;
124;Bottrop – Recklinghausen III;05;195336;195336;157954;157954;1335;984;156619;156970;46277;36279;49624;45951;10249;13164;4185;5422;32869;32770;;;8927;10512;1810;864;;2471;;236;2426;955;;311;;;;661;;;;;;;;;;;;;252;97;;;;248;;;;;;215;;6688;;49;;77;;
125;Borken II;05;200973;200973;172539;172539;1213;858;171326;171681;33511;29835;82003;72746;16486;18302;5042;7571;22179;22829;;;8743;9358;3362;1355;;1686;;312;;779;;195;;;;971;;;;;;;;;;;;;;36;;;;346;;;;;;171;;5065;;44;;80;;
126;Coesfeld – Steinfurt II;05;194072;194072;169789;169789;1264;868;168525;168921;34151;30231;76817;67890;21570;22841;5410;7231;20523;21275;;;7708;9221;;766;;1664;;271;;776;;177;;;2346;1164;;;;;;;;;;;;;;18;;;;346;;;;;;164;;4776;;27;;83;;
127;Steinfurt III;05;194165;194165;165587;165587;1124;908;164463;164679;41395;36478;62252;54548;19383;19903;4874;6572;25482;24959;;;9868;10611;;798;;1783;;328;;860;;281;;;;997;;;;;;;;;;;;;;22;;;;267;;;;;;174;;5967;;45;;86;1209;
128;Münster;05;237654;237654;208022;208022;1207;799;206815;207223;42553;37437;58996;53313;64529;55149;6779;9629;13426;14210;;;14083;25927;;408;;1361;;207;2642;1051;;160;;;3807;2237;;;;;;;;;;;;;;26;;;;303;;;;;;128;;5525;;93;;59;;
129;Warendorf;05;207690;207690;175965;175965;1440;1037;174525;174928;36284;32533;72681;64092;18940;19715;5119;7133;27935;27955;;;9798;10946;3768;1354;;1796;;358;;825;;251;;;;990;;;;;;;;;;;;;;28;;;;307;;;;;;208;;6288;;61;;88;;
130;Gütersloh I;05;232757;232757;192682;192682;1780;1311;190902;191371;40230;34663;79377;63908;17265;22189;5941;8477;32668;35110;;;10489;12240;2493;1125;;1908;;423;;956;;325;;;1966;1229;;;;;;;;;;;;;;30;;;;318;;;;;;230;;8059;;54;;127;473;
131;Bielefeld – Gütersloh II;05;240475;240475;197039;197039;1643;1148;195396;195891;53131;39841;50740;45716;31273;32373;5930;8168;27994;28142;;;19803;25810;;516;;1915;;408;3095;1364;1548;598;;;1882;1300;;;;;;;;;;;;;;60;;;;327;;;;;;210;;8921;;98;;124;;
132;Herford – Minden-Lübbecke II;05;223060;223060;181749;181749;1661;1223;180088;180526;52574;38800;54251;50128;12898;17508;5867;7448;38341;38431;;;10738;12854;2222;1122;;2100;;447;2762;1132;;276;;;;769;;;;;;;;;;;;;;38;;;;299;;;;;;247;;8701;;40;435;186;;
133;Minden-Lübbecke I;05;199147;199147;163424;163424;1744;1214;161680;162210;39931;35923;51970;44594;15009;15379;5431;6785;35399;35282;;;9057;10761;2975;1312;;1772;;457;;976;;229;;;1246;636;;;;;;;;;;;;;;25;;;;301;;;;;;244;;7239;;37;662;258;;
134;Lippe I;05;221602;221602;182679;182679;1922;1324;180757;181355;42552;37926;56640;49204;21911;19245;5474;7713;39426;39517;;;10896;12324;3858;1440;;2255;;575;;1058;;312;;;;825;;;;;;;;;;;;;;34;;;;323;;;;;;244;;8070;;51;;239;;
135;Höxter – Gütersloh III – Lippe II;05;169491;169491;141965;141965;1581;1195;140384;140770;26204;23930;60580;51273;10481;11736;4389;6076;28853;29064;;;7395;7904;2482;1073;;1666;;399;;695;;218;;;;520;;;;;;;;;;;;;;16;;;;242;;;;;;243;;5526;;29;;160;;
136;Paderborn;05;231585;231585;192379;192379;1503;1107;190876;191272;29105;26305;86833;71383;20144;21998;4528;8049;34924;36232;;;11950;13551;;667;;1867;;510;3392;1170;;285;;;;979;;;;;;;;;;;;;;27;;;;280;;;;;;226;;7567;;41;;135;;
137;Hagen – Ennepe-Ruhr-Kreis I;05;195955;195955;153869;153869;1523;1000;152346;152869;39055;32724;44053;43380;12544;13448;5190;5897;32562;31913;;;9025;11933;1780;779;;2363;;302;;804;1425;631;;;;672;;;;;;;;;;;;;231;89;;;;233;;;;;;225;6481;7316;;55;;105;;
138;Ennepe-Ruhr-Kreis II;05;170960;170960;142860;142860;1182;819;141678;142041;42576;33730;43774;38804;14587;17813;4263;5787;23490;23813;;;8617;10659;1405;673;;2080;;312;2127;949;;236;;;;779;;;;;;;;;;;;;256;120;;;;250;;;;;583;242;;5687;;41;;66;;
139;Bochum I;05;200128;200128;163515;163515;1377;872;162138;162643;53007;39363;39934;38267;22181;24224;4681;5942;22797;22483;;;15274;19652;;477;;2158;;251;2795;1078;;339;;;;1172;;;;;;;;;;;;;419;132;;;;269;;;;;1050;353;;6344;;72;;67;;
140;Herne – Bochum II;05;170434;170434;132194;132194;1513;1031;130681;131163;43832;33909;31032;29840;11111;11719;2948;3893;28088;27453;;;10878;12576;;484;;2327;;229;;792;;292;;;1267;708;;;;;;;;;;;;;366;148;;;;245;;;;;1159;333;;6076;;61;;78;;
141;Dortmund I;05;203655;203655;165438;165438;1351;943;164087;164495;50260;37861;38929;36346;22994;25180;4857;5913;26058;25853;;;15047;19459;;476;;2425;;292;3053;1376;;346;;;1889;1135;;;;;;;;;;;;;401;122;;;;258;;;;;;199;;7075;;92;;87;599;
142;Dortmund II;05;195508;195508;154308;154308;1537;1018;152771;153290;49485;37510;37960;36026;15742;17291;4047;5405;28240;27597;;;13794;15577;;491;;2642;;330;3503;1247;;368;;;;852;;;;;;;;;;;;;;80;;;;226;;;;;;176;;7330;;78;;64;;
143;Unna I;05;190511;190511;157471;157471;1412;976;156059;156495;49685;38636;46506;42844;14058;16275;3973;5436;29075;29411;;;9491;11269;;716;;2489;;289;;923;;245;;;1948;948;;;;;;;;;;;;;;54;;;;229;;;;;1323;359;;6254;;45;;73;;
144;Hamm – Unna II;05;227725;227725;181960;181960;1718;1176;180242;180784;58098;41847;54188;51262;11585;14776;4810;6099;38695;38096;;;12866;13545;;741;;2768;;325;;945;;512;;;;866;;;;;;;;;;;;;;45;;;;298;;;;;;278;;8203;;97;;81;;
145;Soest;05;229384;229384;190495;190495;1479;1030;189016;189465;42543;34834;70482;66360;18136;19040;7447;7681;36667;35823;;;11204;11577;2537;997;;2273;;523;;1013;;270;;;;908;;;;;;;;;;;;;;35;;;;352;;;;;;244;;7393;;46;;96;;
146;Hochsauerlandkreis;05;196716;196716;165047;165047;1047;865;164000;164182;35079;26873;78260;71615;10025;12026;4182;6299;26025;27390;;;7646;8774;2783;1142;;1958;;336;;908;;225;;;;785;;;;;;;;;;;;;;27;;;;213;;;;;;202;;5295;;28;;86;;
147;Siegen-Wittgenstein;05;202346;202346;168209;168209;1419;998;166790;167211;40825;33313;56827;52767;12486;14338;5300;6628;34137;33905;;;10725;12099;2340;1297;;1915;;418;2190;1004;;244;;;1290;925;;;;;;;;;;;;;;26;;;;224;;;;;;245;;7472;;45;670;346;;
148;Olpe – Märkischer Kreis I;05;198265;198265;163342;163342;1410;1035;161932;162307;33640;26688;68241;63117;10191;11717;5650;6416;32358;33289;;;8231;8900;2102;998;;1897;;411;;708;;253;;;;591;;;;;;;;;;;;;;33;;;;250;;;;;;243;;6617;;46;;133;1519;
149;Märkischer Kreis II;05;191152;191152;153121;153121;1324;975;151797;152146;34522;27788;58968;51785;9878;11435;4577;6027;31657;32474;;;9917;10286;;649;;2350;;418;;701;;328;;;;546;;;;;;;;;;;;;;37;;;;229;;;;;1317;382;;6553;;55;;103;961;
05;Nordrhein-Westfalen;99;12883912;12883912;10588884;10588884;99150;63307;10489734;10525577;2633518;2108383;3566697;3170708;1230334;1300915;349391;462644;1720361;1769822;;;714177;877058;113887;52887;;133453;;22207;33513;59076;5064;20027;;;79736;68917;;;;;;;;;;;;;7436;4068;;;1282;17970;;;;;16085;14596;6481;431616;;4427;2844;6803;8928;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
150;Nordsachsen;14;158368;158368;126905;126905;1183;849;125722;126056;12555;10562;31395;26170;3090;4308;2684;4012;55022;53909;;;10501;10081;7092;2754;;1486;;;1523;666;;;;173;907;483;;;;;;;;104;;;;;;52;;;;;;;;;953;350;;10946;;;;;;
151;Leipzig I;14;225020;225020;183932;183932;979;939;182953;182993;21470;18454;39285;31902;13796;19746;3828;5826;45728;46287;;;39376;38513;2185;1675;;2429;;;2279;1416;;;;340;1808;1550;;;;;;;;200;;;;;290;141;;;;;;;;;382;309;11726;14205;;;;;800;
152;Leipzig II;14;232750;232750;195980;195980;823;750;195157;195230;16610;21930;31272;30752;19954;31717;3987;6129;36547;36424;;;71809;46692;2005;1482;;1989;;;2059;1465;;;;296;;1847;;;;;;;407;255;;;;;;96;;;;;;;;;394;337;10113;13819;;;;;;
153;Leipzig-Land;14;210913;210913;172195;172195;1237;1078;170958;171117;18681;15100;42038;38097;6048;7869;4392;5850;65284;65839;;;14925;14985;8205;4369;;1970;;;;714;;;;219;;825;;;;;;;487;205;;;;;;72;;;;;;;;;;307;10898;14696;;;;;;
154;Meißen;14;192750;192750;157183;157183;1473;945;155710;156238;11412;11025;37049;31182;6530;7129;8223;5919;70576;68155;;;14696;12236;5607;2327;;1826;;;;674;;;;248;;825;;;;;;;;111;;;;;;53;;;;;;;;;1617;663;;13865;;;;;;
155;Bautzen I;14;200548;200548;161811;161811;1596;1181;160215;160630;11385;10375;38642;32190;3483;4691;4199;5002;77339;73914;;;15655;12469;8049;3056;;1922;;;;799;;;;237;;472;;;;;;;;113;;;;;;53;;;;;;;;;1463;642;;14695;;;;;;
156;Görlitz;14;196271;196271;155052;155052;1280;1118;153772;153934;9626;9814;37197;30406;4659;5159;2951;4484;75145;71854;;;9795;11900;3587;2354;;1960;;;;678;;;;249;;440;;;;;;;;139;;;;;;62;;;;;;;;;980;613;9832;13822;;;;;;
157;Sächsische Schweiz-Osterzgebirge;14;195873;195873;160400;160400;1664;983;158736;159417;12765;9505;35961;30820;4751;6318;4477;5170;77899;74174;;;14522;11716;7007;2853;;1774;;;;617;;;;229;;822;;;;;;;;128;;;;;;49;;;;;;;;;1354;621;;14621;;;;;;
158;Dresden I;14;225103;225103;184922;184922;1857;852;183065;184070;21456;18241;50040;36585;19898;22544;6230;7082;53853;50387;;;26086;25444;;1507;;1960;;;;1130;;;;451;3482;2269;;;;;;;;234;;;;;;87;;;;;;;;;2020;679;;15470;;;;;;
159;Dresden II – Bautzen II;14;233493;233493;196333;196333;1554;877;194779;195456;18245;16601;47108;35306;22140;25517;5130;6947;58240;55902;;;31962;31002;3252;1883;;2045;;;3145;1412;;;;514;3723;2142;;;;;;;;222;;;;;337;102;;;;;;;;;1497;614;;15247;;;;;;
160;Mittelsachsen;14;187924;187924;148354;148354;1329;868;147025;147486;13320;11145;39663;30403;3680;5172;4284;4676;66689;64097;;;13233;11800;6156;2966;;1525;;;;561;;;;182;;575;;;;;;;;146;;;;;;43;;;;;;;;;;275;;13920;;;;;;
161;Chemnitz;14;183295;183295;144921;144921;777;695;144144;144226;24106;16006;30849;28020;6562;9571;3316;4522;46418;47095;;;14354;17643;2066;1402;;1816;;;1510;912;;;;206;845;802;;;;;;;365;213;;;;;;73;;;;;;;;;555;442;13198;15503;;;;;;
162;Chemnitzer Umland – Erzgebirgskreis II;14;171911;171911;140053;140053;1874;846;138179;139207;16137;11899;38302;29537;3827;4523;4654;4416;61030;57241;;;14229;10864;;2814;;1605;;;;581;;;;179;;450;;;;;;;;126;;;;;;32;;;;;;;;;;392;;14548;;;;;;
163;Erzgebirgskreis I;14;202995;202995;164324;164324;1683;1508;162641;162816;10741;10739;40717;33585;2597;3646;3590;4797;75867;75154;;;11122;11359;5545;3780;;1897;;;;574;;;;177;;392;;;;;;;;102;;;;;;53;;;;;;;;;;530;10287;16031;;;;;2175;
164;Zwickau;14;189565;189565;150837;150837;1202;968;149635;149869;14837;13376;35428;31806;3485;4910;4356;4571;59722;60791;;;11212;12799;4712;2568;;1764;;;1773;831;;;;159;;498;;;;;;;;88;;;;;145;81;;;;;;;;;458;369;13507;15258;;;;;;
165;Vogtlandkreis;14;177440;177440;141582;141582;1593;864;139989;140718;13974;12383;37770;30407;4524;4436;3412;4092;60676;57140;;;13335;10937;6298;2346;;1770;;;;679;;;;162;;352;;;;;;;;88;;;;;;64;;;;;;;;;;309;;15553;;;;;;
14;Sachsen;99;3184219;3184219;2584784;2584784;22104;15321;2562680;2569463;247320;217155;612716;507168;129024;167256;69713;83495;986035;958363;;;326812;290440;71766;40136;;29738;;;12289;13709;;;;4021;10765;14744;;;;;;;1259;2474;;;;;772;1113;;;;;;;;;11673;7452;79561;232199;;;;;2975;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
